KP,DP
3.667700624465942e-11,7.819097995758057e-17
2.0760223484039306e-10,1.894724373817444e-15
2.580711817741394e-10,2.41523853302002e-15
2.8255657863616944e-10,2.6527089166641236e-15
3.0293289136886595e-10,2.906523222923279e-15
3.06295042514801e-10,2.906256461143494e-15
3.3510722017288206e-10,3.2017380046844483e-15
3.5582698869705196e-10,3.4358500480651857e-15
3.6946518468856807e-10,3.57046471118927e-15
3.910552635192871e-10,3.801556630134582e-15
4.07565435886383e-10,3.9968786525726314e-15
4.200203528404236e-10,4.119227037429809e-15
4.417657251358032e-10,4.351414585113525e-15
4.600674886703491e-10,4.551333484649658e-15
4.788108382225037e-10,4.737976222038269e-15
5.009730257987976e-10,4.99110456943512e-15
5.15897394657135e-10,5.143959069252014e-15
5.377056465148925e-10,5.373007402420044e-15
5.580328941345215e-10,5.59480553150177e-15
5.762408146858215e-10,5.79205204963684e-15
5.954124121665954e-10,5.994781475067139e-15
6.154838542938232e-10,6.210606045722961e-15
6.35004147529602e-10,6.416217451095581e-15
6.553490204811096e-10,6.63391411781311e-15
6.746039810180664e-10,6.842050232887268e-15
6.935116748809815e-10,7.044141335487366e-15
7.130410189628601e-10,7.250024266242982e-15
7.327189874649047e-10,7.460885162353515e-15
7.522993021011352e-10,7.662204561233521e-15
7.728104248046874e-10,7.882254447937012e-15
7.932491407394409e-10,8.081144409179688e-15
8.167846751213074e-10,8.32622703075409e-15
8.367641797065734e-10,8.549177951812744e-15
8.545991101264953e-10,8.736011233329774e-15
8.761996688842773e-10,8.945986099243164e-15
9.00108669757843e-10,9.196222939491273e-15
9.223432641029358e-10,9.415301051139831e-15
9.471525859832764e-10,9.681748433113098e-15
9.69470067024231e-10,9.896448793411255e-15
9.981922125816346e-10,1.01912872505188e-14
1.0248945903778077e-09,1.0475841088294984e-14
1.0510220012664795e-09,1.0727183084487914e-14
1.0864822635650635e-09,1.1078918018341064e-14
1.1244281740188598e-09,1.1478932070732117e-14
1.158965250015259e-09,1.1816228523254395e-14
1.2063592910766603e-09,1.229517071723938e-14
1.2567415404319764e-09,1.2817328319549561e-14
1.3075987210273742e-09,1.3330611329078674e-14
1.3696594200134277e-09,1.3949493894577026e-14
1.4449019618034364e-09,1.4714309444427493e-14
1.5264619941711427e-09,1.5554423270225527e-14
1.6122844986915588e-09,1.6416430616378784e-14
1.7183942365646364e-09,1.750030754566193e-14
1.831952820777893e-09,1.865894922733307e-14
1.958209742069244e-09,1.99321031665802e-14
2.1054212775230406e-09,2.1457904329299928e-14
2.2500709471702575e-09,2.2926604180336e-14
2.4157233433723446e-09,2.4614844212532044e-14
2.5935162587165832e-09,2.6444477515220643e-14
2.7774756584167477e-09,2.8318031239509585e-14
2.974261059761047e-09,3.032832895755768e-14
3.179406108379364e-09,3.244792278766632e-14
3.3931928095817562e-09,3.4612399287223815e-14
3.607646415233612e-09,3.682617908000946e-14
3.83512085390091e-09,3.9180475640296933e-14
4.067441782474518e-09,4.162989182949066e-14
4.332543922901154e-09,4.4504316697120666e-14
4.822833019733429e-09,4.987006793498993e-14
5.638422863483429e-09,5.846084523677827e-14
6.633798714160919e-09,6.844419524669647e-14
7.456756899356841e-09,7.64301092672348e-14
7.440424409389496e-09,7.603903649806977e-14
6.930640742778778e-09,7.079152741909027e-14
6.814056317806244e-09,6.957964770793915e-14
6.941504616260529e-09,7.085979938030244e-14
7.031493844509125e-09,7.178225208759308e-14
7.264817035198211e-09,7.414725722789765e-14
7.416461579799652e-09,7.568877828121186e-14
7.632014625072478e-09,7.786498277187348e-14
7.71435160112381e-09,7.871122735500336e-14
7.967367527484893e-09,8.126055059432984e-14
8.131914291381836e-09,8.291203466415406e-14
8.120822717666626e-09,8.283619810104371e-14
8.592569965362548e-09,8.75479542541504e-14
8.707283246994017e-09,8.866353296279907e-14
8.639561958312988e-09,8.799554241180421e-14
8.910368989944457e-09,9.06972294998169e-14
9.061603864669799e-09,9.21983551979065e-14
9.21245574569702e-09,9.369393606185914e-14
9.398036199569701e-09,9.552407430648804e-14
9.526135206222533e-09,9.678172271728517e-14
9.688478803634642e-09,9.837305200576783e-14
9.83112775993347e-09,9.976516740798951e-14
9.957673831939696e-09,1.0100040782928467e-13
1.0149940479278564e-08,1.0287210374832153e-13
1.0256572784423827e-08,1.039006418991089e-13
1.0414118480682373e-08,1.0542770065307618e-13
1.0569000370025633e-08,1.0692194770812989e-13
1.0687591224670409e-08,1.0806223999023438e-13
1.0897654693603515e-08,1.1007884471893311e-13
1.095248567199707e-08,1.1058241474151613e-13
1.1119661468505858e-08,1.1218262338638306e-13
1.1267199787139891e-08,1.1358453275680542e-13
1.1386116472244262e-08,1.1470813337326048e-13
1.1546171634674071e-08,1.162256649208069e-13
1.1673346502304076e-08,1.1741801385879517e-13
1.1807680112838744e-08,1.1867354722976685e-13
1.1920760431289671e-08,1.1972243549346924e-13
1.2051140251159667e-08,1.2094016490936279e-13
1.2212845525741576e-08,1.2245043672561645e-13
1.2317856300354002e-08,1.2340725406646728e-13
1.2438905174255371e-08,1.2451593507766722e-13
1.2570182456970213e-08,1.2571710620880125e-13
1.2678897409439086e-08,1.2670025674819946e-13
1.2820946151733398e-08,1.2799719535827636e-13
1.2921454368591308e-08,1.2889509645462035e-13
1.3055995672225952e-08,1.3011903760910033e-13
1.3192114681243895e-08,1.3134983835220335e-13
1.3287196201324462e-08,1.321874893951416e-13
1.342783491706848e-08,1.3345544624328614e-13
1.3531336582183837e-08,1.3436580892562865e-13
1.3656606008529663e-08,1.354805111312866e-13
1.3770223661422729e-08,1.3648092496871948e-13
1.3887665534973144e-08,1.375154271507263e-13
1.4004387151718138e-08,1.3854059267044067e-13
1.4118803184509277e-08,1.3954266424179077e-13
1.42350636844635e-08,1.4056298994064332e-13
1.4360597967147827e-08,1.416672693824768e-13
1.4460951843261717e-08,1.42528528842926e-13
1.4568584505081176e-08,1.4346122329711914e-13
1.4698150701522827e-08,1.445992671585083e-13
1.4788847801208495e-08,1.4536708377838134e-13
1.491021869468689e-08,1.4642382246017455e-13
1.5005690830230715e-08,1.4723108171463012e-13
1.5109363985061648e-08,1.4811827423095702e-13
1.5227335571289063e-08,1.4914328731536865e-13
1.532483319091797e-08,1.4997268779754637e-13
1.542413335800171e-08,1.5081916103363037e-13
1.5523799369812013e-08,1.5167338941574097e-13
1.563282681465149e-08,1.5262363298416137e-13
1.5724840574264527e-08,1.5341235229492188e-13
1.580023507499695e-08,1.5404046195983887e-13
1.589730206489563e-08,1.5488123792648315e-13
1.598365475845337e-08,1.556266656112671e-13
1.6069096651077272e-08,1.5637228384017944e-13
1.614005909538269e-08,1.5698389238357543e-13
1.6218258405685424e-08,1.576769966506958e-13
1.6287041025161744e-08,1.5829300676345825e-13
1.6349470903396608e-08,1.5886837381362914e-13
1.6387343454360963e-08,1.592122678565979e-13
1.6431235294342042e-08,1.596238812828064e-13
1.646790551185608e-08,1.599909073829651e-13
1.647933434867859e-08,1.6011093112945556e-13
1.6501652782440186e-08,1.6035015928268433e-13
1.651174781036377e-08,1.6048365449905396e-13
1.6516477115631105e-08,1.6057162872314453e-13
1.651963443183899e-08,1.606683108139038e-13
1.6506498319625853e-08,1.606205795097351e-13
1.6489995292663574e-08,1.6054342819213868e-13
1.64805252494812e-08,1.605624063873291e-13
1.6470538831710817e-08,1.606159302330017e-13
1.648859860420227e-08,1.6096921810150145e-13
1.6515190942764284e-08,1.61589915599823e-13
1.639788245010376e-08,1.611729669380188e-13
1.63207101726532e-08,1.6077457727432251e-13
1.5860405099868776e-08,1.5824167417526246e-13
1.4555839008331298e-08,1.4628144788742064e-13
1.4128187482833861e-08,1.4234070949554442e-13
1.4020756797790527e-08,1.413731835746765e-13
1.3912262876510619e-08,1.404286372756958e-13
1.379640061378479e-08,1.394711530303955e-13
1.3660824655532836e-08,1.3839970434188843e-13
1.3418031421661375e-08,1.3625972229003907e-13
1.3148243801116942e-08,1.3379634874343872e-13
1.3102555130004882e-08,1.337337931060791e-13
1.1300045783996581e-08,1.1556786848068237e-13
1.2823442279815673e-08,1.3250365926742553e-13
1.112083331489563e-08,1.1555409214019774e-13
9.076605403900146e-09,9.449709861755372e-14
7.746146747112273e-09,8.033932689666749e-14
7.521654324054717e-09,7.758210095882416e-14
7.643616857051849e-09,7.860629470348359e-14
7.50659276342392e-09,7.712971108913422e-14
7.279905272006989e-09,7.47148977136612e-14
6.823493015766144e-09,6.999339522838594e-14
6.427224108219147e-09,6.580904616832734e-14
5.907196789264679e-09,6.037951981067658e-14
5.337083993434906e-09,5.4416974835395815e-14
4.941415299892425e-09,5.017905429363251e-14
4.406903769016266e-09,4.458130605220795e-14
4.0787858271598815e-09,4.1042206101417543e-14
3.5298739237785338e-09,3.533636217594147e-14
3.1896897749900816e-09,3.1703362078666687e-14
2.7641842527389526e-09,2.7260196928977967e-14
2.374189963340759e-09,2.3179794454574588e-14
2.051738803863525e-09,1.979272013664246e-14
4.0541913437843325e-09,3.964690861225128e-14
