% Model,Na_0709.mph
% Version,COMSOL 6.1.0.252
% Date,"Jul 24 2024, 16:38"
% Dimension,1
% Nodes,508
% Expressions,1
% Description,线结果图
% 空间坐标，x 分量 (m),电解质盐浓度
2.6E-4,927.0378576647579
2.603989352754277E-4,923.4081306596352
2.607978705508555E-4,919.8005222701227
2.611968058262832E-4,916.2150324962207
2.615957411017109E-4,912.6516613379289
2.6199467637713864E-4,909.1104087952473
2.623936116525664E-4,905.591274868176
2.627925469279942E-4,902.094259556715
2.631914822034219E-4,898.6193628608645
2.6359041747884963E-4,895.166584780624
2.6402862481379844E-4,891.3986627189283
2.644668321487473E-4,887.6558159824122
2.649050394836961E-4,883.9380445710758
2.653432468186449E-4,880.2453484849188
2.6578145415359373E-4,876.5777277239417
2.662196614885426E-4,872.9351822881441
2.666578688234914E-4,869.3177121775262
2.670960761584402E-4,865.7253173920881
2.67534283493389E-4,862.1579979318294
2.6801601299286583E-4,858.2645286823016
2.6849774249234265E-4,854.3995195642926
2.6897947199181946E-4,850.5629705778023
2.694612014912962E-4,846.7548817228306
2.6994293099077304E-4,842.9752529993777
2.7042466049024985E-4,839.2240844074437
2.7090638998972667E-4,835.5013759470281
2.7138811948920343E-4,831.8071276181316
2.7186984898868024E-4,828.1413394207535
2.723996088383557E-4,824.1399925173655
2.7292936868803116E-4,820.172014894939
2.7345912853770667E-4,816.2374065534738
2.7398888838738207E-4,812.3361674929697
2.745186482370576E-4,808.4682977134271
2.750484080867331E-4,804.6337972148458
2.7557816793640855E-4,800.8326659972257
2.7610792778608395E-4,797.0649040605672
2.7663768763575946E-4,793.3305114048698
2.772203230436337E-4,789.2692078179061
2.77802958451508E-4,785.2490854011177
2.783855938593823E-4,781.2701441545041
2.7896822926725654E-4,777.3323840780655
2.795508646751308E-4,773.4358051718017
2.801335000830051E-4,769.5804074357129
2.8071613549087934E-4,765.7661908697991
2.8129877089875366E-4,761.9931554740602
2.8188140630662793E-4,758.2613012484962
2.8252216299880646E-4,754.2025408259107
2.8316291969098504E-4,750.189174781364
2.838036763831636E-4,746.2212031148567
2.844444330753422E-4,742.2986258263883
2.8508518976752073E-4,738.421442915959
2.857259464596993E-4,734.5896543835688
2.863667031518779E-4,730.8032602292178
2.870074598440565E-4,727.062260452906
2.87648216536235E-4,723.3666550546332
2.883527980859788E-4,719.3530620273075
2.890573796357225E-4,715.3898340448858
2.8976196118546627E-4,711.4769711073677
2.9046654273521E-4,707.614473214753
2.9117112428495376E-4,703.8023403670422
2.9187570583469747E-4,700.040572564235
2.9258028738444124E-4,696.3291698063316
2.9328486893418496E-4,692.6681320933319
2.9398945048392873E-4,689.0574594252357
2.9476407418143556E-4,685.1436016649934
2.9553869787894244E-4,681.2858873970908
2.9631332157644937E-4,677.484316621528
2.970879452739562E-4,673.7388893383046
2.9786256897146307E-4,670.0496055474209
2.9863719266896995E-4,666.4164652488768
2.994118163664768E-4,662.8394684426725
3.0018644006398365E-4,659.3186151288078
3.0096106376149053E-4,655.8539053072827
3.0181296174426283E-4,652.1058288435025
3.0266485972703524E-4,648.4209580734453
3.035167577098076E-4,644.799292997111
3.0436865569257994E-4,641.2408336144996
3.0522055367535224E-4,637.7455799256112
3.0607245165812464E-4,634.3135319304457
3.0692434964089694E-4,630.9446896290032
3.077762476236693E-4,627.6390530212836
3.0862814560644164E-4,624.396622107287
3.095648724102698E-4,620.9015500312527
3.105015992140981E-4,617.4778114191951
3.1143832601792634E-4,614.125406271114
3.123750528217545E-4,610.8443345870097
3.1331177962558277E-4,607.6345963668822
3.14248506429411E-4,604.4961916107312
3.151852332332392E-4,601.4291203185569
3.161219600370674E-4,598.4333824903595
3.170586868408956E-4,595.5089781261386
3.180888622341913E-4,592.3728963383587
3.1911903762748693E-4,589.318229130803
3.2014921302078264E-4,586.3449765034715
3.2117938841407835E-4,583.453138456364
3.22209563807374E-4,580.6427149894805
3.2323973920066966E-4,577.9137061028213
3.2426991459396536E-4,575.266111796386
3.25300089987261E-4,572.6999320701749
3.2633026538055667E-4,570.2151669241879
3.2746298623597677E-4,567.5746386863195
3.2859570709139693E-4,565.0278237399127
3.2972842794681703E-4,562.5747220849672
3.3086114880223714E-4,560.2153337214833
3.3199386965765724E-4,557.9496586494607
3.3312659051307734E-4,555.7776968688996
3.3425931136849745E-4,553.6994483798001
3.3539203222391755E-4,551.7149131821619
3.3652475307933765E-4,549.8240912759852
3.377703020298889E-4,547.851020580191
3.390158509804401E-4,545.987047993107
3.4026139993099133E-4,544.2321735147333
3.4150694888154256E-4,542.5863971450697
3.427524978320938E-4,541.0497188841163
3.43998046782645E-4,539.6221387318731
3.4524359573319624E-4,538.30365668834
3.4648914468374747E-4,537.0942727535173
3.477346936342987E-4,535.9939869274046
3.4909750545270994E-4,534.9132938727923
3.504603172711212E-4,533.9598826860968
3.518231290895325E-4,533.1337533673181
3.531859409079437E-4,532.4349059164564
3.54548752726355E-4,531.8633403335114
3.5591156454476623E-4,531.4190566184833
3.572743763631775E-4,531.1020547713721
3.586371881815887E-4,530.9123347921777
3.5999999999999997E-4,530.8498966809002
2.6E-4,926.1175686694942
2.603989352754277E-4,922.4803294991426
2.607978705508555E-4,918.8689797250562
2.611968058262832E-4,915.2835193472346
2.615957411017109E-4,911.7239483656775
2.6199467637713864E-4,908.1902667803855
2.623936116525664E-4,904.6824745913582
2.627925469279942E-4,901.2005717985958
2.631914822034219E-4,897.7445584020984
2.6359041747884963E-4,894.3144344018656
2.6402862481379844E-4,890.5752675251968
2.644668321487473E-4,886.8647818690887
2.649050394836961E-4,883.1829774335413
2.653432468186449E-4,879.5298542185545
2.6578145415359373E-4,875.9054122241284
2.662196614885426E-4,872.3096514502629
2.666578688234914E-4,868.7425718969581
2.670960761584402E-4,865.2041735642142
2.67534283493389E-4,861.6944564520307
2.6801601299286583E-4,857.867943584247
2.6849774249234265E-4,854.0734035676121
2.6897947199181946E-4,850.3108364021261
2.694612014912962E-4,846.5802420877891
2.6994293099077304E-4,842.881620624601
2.7042466049024985E-4,839.2149720125618
2.7090638998972667E-4,835.5802962516717
2.7138811948920343E-4,831.9775933419306
2.7186984898868024E-4,828.4068632833382
2.723996088383557E-4,824.5144425383941
2.7292936868803116E-4,820.6584759196171
2.7345912853770667E-4,816.8389634270076
2.7398888838738207E-4,813.0559050605649
2.745186482370576E-4,809.3093008202898
2.750484080867331E-4,805.5991507061818
2.7557816793640855E-4,801.9254547182411
2.7610792778608395E-4,798.2882128564678
2.7663768763575946E-4,794.6874251208615
2.772203230436337E-4,790.775542357788
2.77802958451508E-4,786.9074229721656
2.783855938593823E-4,783.0830669639938
2.7896822926725654E-4,779.3024743332729
2.795508646751308E-4,775.5656450800028
2.801335000830051E-4,771.8725792041836
2.8071613549087934E-4,768.2232767058151
2.8129877089875366E-4,764.6177375848977
2.8188140630662793E-4,761.0559618414309
2.8252216299880646E-4,757.1865672088152
2.8316291969098504E-4,753.3644384537025
2.838036763831636E-4,749.5895755760928
2.844444330753422E-4,745.8619785759859
2.8508518976752073E-4,742.1816474533817
2.857259464596993E-4,738.5485822082805
2.863667031518779E-4,734.9627828406822
2.870074598440565E-4,731.4242493505869
2.87648216536235E-4,727.9329817379943
2.883527980859788E-4,724.1455704548607
2.890573796357225E-4,720.4096128679025
2.8976196118546627E-4,716.7251089771199
2.9046654273521E-4,713.0920587825125
2.9117112428495376E-4,709.5104622840807
2.9187570583469747E-4,705.9803194818242
2.9258028738444124E-4,702.501630375743
2.9328486893418496E-4,699.0743949658377
2.9398945048392873E-4,695.6986132521074
2.9476407418143556E-4,692.043449310789
2.9553869787894244E-4,688.4443310505094
2.9631332157644937E-4,684.9012584712683
2.970879452739562E-4,681.414231573066
2.9786256897146307E-4,677.9832503559023
2.9863719266896995E-4,674.6083148197772
2.994118163664768E-4,671.2894249646909
3.0018644006398365E-4,668.0265807906433
3.0096106376149053E-4,664.8197822976342
3.0181296174426283E-4,661.3549049129491
3.0266485972703524E-4,657.9514283270842
3.035167577098076E-4,654.6093525400394
3.0436865569257994E-4,651.3286775518145
3.0522055367535224E-4,648.1094033624098
3.0607245165812464E-4,644.9515299718253
3.0692434964089694E-4,641.8550573800608
3.077762476236693E-4,638.8199855871165
3.0862814560644164E-4,635.8463145929921
3.095648724102698E-4,632.6435805428235
3.105015992140981E-4,629.5082442082377
3.1143832601792634E-4,626.4403055892345
3.123750528217545E-4,623.4397646858141
3.1331177962558277E-4,620.5066214979764
3.14248506429411E-4,617.6408760257214
3.151852332332392E-4,614.8425282690491
3.161219600370674E-4,612.1115782279596
3.170586868408956E-4,609.4480259024527
3.180888622341913E-4,606.5935966642646
3.1911903762748693E-4,603.8146427316092
3.2014921302078264E-4,601.1111641044863
3.2117938841407835E-4,598.483160782896
3.22209563807374E-4,595.9306327668382
3.2323973920066966E-4,593.4535800563131
3.2426991459396536E-4,591.0520026513205
3.25300089987261E-4,588.7259005518606
3.2633026538055667E-4,586.4752737579332
3.2746298623597677E-4,584.0842899026235
3.2859570709139693E-4,581.7786336454418
3.2972842794681703E-4,579.5583049863878
3.3086114880223714E-4,577.4233039254616
3.3199386965765724E-4,575.3736304626633
3.3312659051307734E-4,573.409284597993
3.3425931136849745E-4,571.5302663314503
3.3539203222391755E-4,569.7365756630358
3.3652475307933765E-4,568.0282125927489
3.377703020298889E-4,566.244999987889
3.390158509804401E-4,564.5601813088557
3.4026139993099133E-4,562.973756555649
3.4150694888154256E-4,561.4857257282688
3.427524978320938E-4,560.0960888267152
3.43998046782645E-4,558.8048458509882
3.4524359573319624E-4,557.6119968010876
3.4648914468374747E-4,556.5175416770137
3.477346936342987E-4,555.5214804787663
3.4909750545270994E-4,554.54151907041
3.504603172711212E-4,553.6768490368146
3.518231290895325E-4,552.9274703779798
3.531859409079437E-4,552.2933830939057
3.54548752726355E-4,551.7745871845924
3.5591156454476623E-4,551.3710826500399
3.572743763631775E-4,551.0828694902481
3.586371881815887E-4,550.9099477052171
3.5999999999999997E-4,550.8523172949467
2.6E-4,926.0558078315524
2.603989352754277E-4,922.4078612215193
2.607978705508555E-4,918.7851662330403
2.611968058262832E-4,915.1877228661157
2.615957411017109E-4,911.6155311207453
2.6199467637713864E-4,908.0685909969292
2.623936116525664E-4,904.5469024946672
2.627925469279942E-4,901.0504656139593
2.631914822034219E-4,897.5792803548061
2.6359041747884963E-4,894.1333467172068
2.6402862481379844E-4,890.3763150574879
2.644668321487473E-4,886.6475608738265
2.649050394836961E-4,882.9470841662228
2.653432468186449E-4,879.2748849346767
2.6578145415359373E-4,875.6309631791883
2.662196614885426E-4,872.0153188997574
2.666578688234914E-4,868.4279520963843
2.670960761584402E-4,864.8688627690688
2.67534283493389E-4,861.3380509178108
2.6801601299286583E-4,857.4882669094981
2.6849774249234265E-4,853.6701575176763
2.6897947199181946E-4,849.8837227423454
2.694612014912962E-4,846.1289625835054
2.6994293099077304E-4,842.4058770411563
2.7042466049024985E-4,838.7144661152979
2.7090638998972667E-4,835.0547298059304
2.7138811948920343E-4,831.426668113054
2.7186984898868024E-4,827.8302810366683
2.723996088383557E-4,823.9088886584132
2.7292936868803116E-4,820.0238044954014
2.7345912853770667E-4,816.1750285476334
2.7398888838738207E-4,812.362560815109
2.745186482370576E-4,808.5864012978282
2.750484080867331E-4,804.8465499957911
2.7557816793640855E-4,801.1430069089974
2.7610792778608395E-4,797.4757720374477
2.7663768763575946E-4,793.8448453811413
2.772203230436337E-4,789.9000416492515
2.77802958451508E-4,785.9990616739065
2.783855938593823E-4,782.1419054551058
2.7896822926725654E-4,778.3285729928492
2.795508646751308E-4,774.5590642871372
2.801335000830051E-4,770.8333793379695
2.8071613549087934E-4,767.1515181453464
2.8129877089875366E-4,763.5134807092677
2.8188140630662793E-4,759.9192670297332
2.8252216299880646E-4,756.0144047649179
2.8316291969098504E-4,752.1569347860839
2.838036763831636E-4,748.3468570932313
2.844444330753422E-4,744.5841716863598
2.8508518976752073E-4,740.8688785654698
2.857259464596993E-4,737.2009777305611
2.863667031518779E-4,733.5804691816337
2.870074598440565E-4,730.0073529186878
2.87648216536235E-4,726.4816289417231
2.883527980859788E-4,722.6565184583893
2.890573796357225E-4,718.8828707585322
2.8976196118546627E-4,715.1606858421517
2.9046654273521E-4,711.4899637092475
2.9117112428495376E-4,707.87070435982
2.9187570583469747E-4,704.3029077938689
2.9258028738444124E-4,700.7865740113944
2.9328486893418496E-4,697.3217030123966
2.9398945048392873E-4,693.9082947968751
2.9476407418143556E-4,690.2118422937973
2.9553869787894244E-4,686.5714290694813
2.9631332157644937E-4,682.9870551239268
2.970879452739562E-4,679.458720457134
2.9786256897146307E-4,675.9864250691029
2.9863719266896995E-4,672.5701689598335
2.994118163664768E-4,669.2099521293258
3.0018644006398365E-4,665.9057745775799
3.0096106376149053E-4,662.6576363045956
3.0181296174426283E-4,659.1479667618775
3.0266485972703524E-4,655.7000776119124
3.035167577098076E-4,652.3139688547006
3.0436865569257994E-4,648.9896404902418
3.0522055367535224E-4,645.7270925185362
3.0607245165812464E-4,642.5263249395837
3.0692434964089694E-4,639.3873377533843
3.077762476236693E-4,636.3101309599382
3.0862814560644164E-4,633.294704559245
3.095648724102698E-4,630.0468967564059
3.105015992140981E-4,626.867425901725
3.1143832601792634E-4,623.756291995202
3.123750528217545E-4,620.713495036837
3.1331177962558277E-4,617.73903502663
3.14248506429411E-4,614.8329119645808
3.151852332332392E-4,611.9951258506898
3.161219600370674E-4,609.2256766849567
3.170586868408956E-4,606.5245644673817
3.180888622341913E-4,603.6295229033631
3.1911903762748693E-4,600.8107096580101
3.2014921302078264E-4,598.0681247313227
3.2117938841407835E-4,595.4017681233007
3.22209563807374E-4,592.8116398339444
3.2323973920066966E-4,590.2977398632536
3.2426991459396536E-4,587.8600682112283
3.25300089987261E-4,585.4986248778687
3.2633026538055667E-4,583.2134098631745
3.2746298623597677E-4,580.7852004929545
3.2859570709139693E-4,578.4434652573839
3.2972842794681703E-4,576.1882041564626
3.3086114880223714E-4,574.0194171901904
3.3199386965765724E-4,571.9371043585677
3.3312659051307734E-4,569.9412656615942
3.3425931136849745E-4,568.0319010992702
3.3539203222391755E-4,566.2090106715955
3.3652475307933765E-4,564.47259437857
3.377703020298889E-4,562.660096547918
3.390158509804401E-4,560.947619119641
3.4026139993099133E-4,559.3351620937387
3.4150694888154256E-4,557.8227254702114
3.427524978320938E-4,556.4103092490587
3.43998046782645E-4,555.097913430281
3.4524359573319624E-4,553.8855380138781
3.4648914468374747E-4,552.7731829998501
3.477346936342987E-4,551.7608483881968
3.4909750545270994E-4,550.76527204531
3.504603172711212E-4,549.886852853504
3.518231290895325E-4,549.125590812779
3.531859409079437E-4,548.481485923135
3.54548752726355E-4,547.9545381845719
3.5591156454476623E-4,547.5447475970898
3.572743763631775E-4,547.2521141606886
3.586371881815887E-4,547.0766378753685
3.5999999999999997E-4,547.0183187411293
2.6E-4,927.6647642694561
2.603989352754277E-4,924.0377593792841
2.607978705508555E-4,920.4304058118054
2.611968058262832E-4,916.8427035670198
2.615957411017109E-4,913.2746526449274
2.6199467637713864E-4,909.7262530455282
2.623936116525664E-4,906.1975047688219
2.627925469279942E-4,902.688407814809
2.631914822034219E-4,899.1989621834894
2.6359041747884963E-4,895.7291678748627
2.6402862481379844E-4,891.9398118807064
2.644668321487473E-4,888.1728790822459
2.649050394836961E-4,884.4283694794808
2.653432468186449E-4,880.7062830724112
2.6578145415359373E-4,877.0066198610373
2.662196614885426E-4,873.3293798453589
2.666578688234914E-4,869.674563025376
2.670960761584402E-4,866.0421694010888
2.67534283493389E-4,862.432198972497
2.6801601299286583E-4,858.4888901305147
2.6849774249234265E-4,854.5712852966526
2.6897947199181946E-4,850.6793844709107
2.694612014912962E-4,846.8131876532889
2.6994293099077304E-4,842.972694843787
2.7042466049024985E-4,839.1579060424056
2.7090638998972667E-4,835.368821249144
2.7138811948920343E-4,831.605440464003
2.7186984898868024E-4,827.8677636869818
2.723996088383557E-4,823.7839427858792
2.7292936868803116E-4,819.7309232157103
2.7345912853770667E-4,815.7087049764748
2.7398888838738207E-4,811.7172880681725
2.745186482370576E-4,807.7566724908039
2.750484080867331E-4,803.8268582443686
2.7557816793640855E-4,799.9278453288667
2.7610792778608395E-4,796.0596337442986
2.7663768763575946E-4,792.2222234906636
2.772203230436337E-4,788.0454686740587
2.77802958451508E-4,783.9076882055238
2.783855938593823E-4,779.8088820850586
2.7896822926725654E-4,775.749050312663
2.795508646751308E-4,771.7281928883375
2.801335000830051E-4,767.7463098120817
2.8071613549087934E-4,763.8034010838956
2.8129877089875366E-4,759.8994667037794
2.8188140630662793E-4,756.0345066717329
2.8252216299880646E-4,751.8271041093083
2.8316291969098504E-4,747.66353329697
2.838036763831636E-4,743.5437942347177
2.844444330753422E-4,739.4678869225515
2.8508518976752073E-4,735.4358113604715
2.857259464596993E-4,731.4475675484777
2.863667031518779E-4,727.5031554865698
2.870074598440565E-4,723.6025751747483
2.87648216536235E-4,719.7458266130127
2.883527980859788E-4,715.5538285908431
2.890573796357225E-4,711.411224448239
2.8976196118546627E-4,707.3180141852004
2.9046654273521E-4,703.2741978017273
2.9117112428495376E-4,699.2797752978196
2.9187570583469747E-4,695.3347466734773
2.9258028738444124E-4,691.4391119287005
2.9328486893418496E-4,687.5928710634895
2.9398945048392873E-4,683.7960240778436
2.9476407418143556E-4,679.6771303100357
2.9553869787894244E-4,675.6143494550885
2.9631332157644937E-4,671.6076815130011
2.970879452739562E-4,667.657126483774
2.9786256897146307E-4,663.7626843674072
2.9863719266896995E-4,659.9243551639008
2.994118163664768E-4,656.1421388732545
3.0018644006398365E-4,652.4160354954686
3.0096106376149053E-4,648.7460450305427
3.0181296174426283E-4,644.7724998149636
3.0266485972703524E-4,640.863580473522
3.035167577098076E-4,637.019287006218
3.0436865569257994E-4,633.2396194130513
3.0522055367535224E-4,629.524577694022
3.0607245165812464E-4,625.8741618491304
3.0692434964089694E-4,622.2883718783762
3.077762476236693E-4,618.7672077817596
3.0862814560644164E-4,615.3106695592804
3.095648724102698E-4,611.5827641074228
3.105015992140981E-4,607.9291363046356
3.1143832601792634E-4,604.3497861509184
3.123750528217545E-4,600.8447136462714
3.1331177962558277E-4,597.4139187906948
3.14248506429411E-4,594.0574015841883
3.151852332332392E-4,590.7751620267519
3.161219600370674E-4,587.5672001183859
3.170586868408956E-4,584.4335158590901
3.180888622341913E-4,581.0712700656628
3.1911903762748693E-4,577.7953277408843
3.2014921302078264E-4,574.605688884755
3.2117938841407835E-4,571.5023534972744
3.22209563807374E-4,568.4853215784427
3.2323973920066966E-4,565.5545931282601
3.2426991459396536E-4,562.7101681467262
3.25300089987261E-4,559.9520466338415
3.2633026538055667E-4,557.2802285896056
3.2746298623597677E-4,554.4408728228503
3.2859570709139693E-4,551.7019983021007
3.2972842794681703E-4,549.0636050273566
3.3086114880223714E-4,546.5256929986181
3.3199386965765724E-4,544.088262215885
3.3312659051307734E-4,541.7513126791576
3.3425931136849745E-4,539.5148443884358
3.3539203222391755E-4,537.3788573437196
3.3652475307933765E-4,535.3433515450089
3.377703020298889E-4,533.2197252364107
3.390158509804401E-4,531.213635161817
3.4026139993099133E-4,529.3250813212277
3.4150694888154256E-4,527.554063714643
3.427524978320938E-4,525.9005823420628
3.43998046782645E-4,524.364637203487
3.4524359573319624E-4,522.9462282989156
3.4648914468374747E-4,521.6453556283489
3.477346936342987E-4,520.4620191917865
3.4909750545270994E-4,519.3007905786435
3.504603172711212E-4,518.2763912072073
3.518231290895325E-4,517.3888210774778
3.531859409079437E-4,516.638080189455
3.54548752726355E-4,516.0241685431389
3.5591156454476623E-4,515.5470861385295
3.572743763631775E-4,515.2068329756268
3.586371881815887E-4,515.003409054431
3.5999999999999997E-4,514.9368143749417
